Question Index,Topic,Marks
9231_w22_qp_32_Q2,Center of Mass,6
9231_w22_qp_32_Q3,Hooke's Law,6
9231_w22_qp_32_Q4,General Straight Motion,7
9231_w22_qp_32_Q5,Projectile Motion,9
9231_w22_qp_32_Q6,Circular Motion,9
9231_w22_qp_32_Q7,Momentum,9
9231_w22_qp_33_Q1,Circular Motion,3
9231_w22_qp_33_Q2,Hooke's Law,6
9231_w22_qp_33_Q3,Equilibrium of Rigid Body,7
9231_w22_qp_33_Q4,General Straight Motion,8
9231_w22_qp_33_Q5,Circular Motion,8
9231_w22_qp_33_Q6,Momentum,8
9231_w22_qp_33_Q7,Projectile Motion,10
9231_w23_qp_32_Q1,Circular Motion,4
9231_w23_qp_32_Q2,General Straight Motion,6
9231_w23_qp_32_Q3,Center of Mass,7
9231_w23_qp_32_Q4,Momentum,7
9231_w23_qp_32_Q5,Circular Motion,8
9231_w23_qp_32_Q6,Projectile Motion,9
9231_w23_qp_32_Q7,Equilibrium of Rigid Body,9
9231_w23_qp_33_Q1,Momentum,7
9231_w23_qp_33_Q2,General Straight Motion,7
9231_w23_qp_33_Q3,Equilibrium of Rigid Body,8
9231_w23_qp_33_Q4,Hooke's Law,8
9231_w23_qp_33_Q5,Projectile Motion,9
9231_w23_qp_33_Q6,Circular Motion,11
9231_w24_qp_32_Q1,Hooke's Law,3
9231_w24_qp_32_Q2,Hooke's Law,4
9231_w24_qp_32_Q3,Momentum,7
9231_w24_qp_32_Q4,Equilibrium of Rigid Body,7
9231_w24_qp_32_Q5,Projectile Motion,8
9231_w24_qp_32_Q6,Circular Motion,10
9231_w24_qp_32_Q7,General Straight Motion,11
9231_w24_qp_33_Q1,Projectile Motion,5
9231_w24_qp_33_Q2,Circular Motion,5
9231_w24_qp_33_Q3,Hooke's Law,8
9231_w24_qp_33_Q4,Center of Mass,7
9231_w24_qp_33_Q5,General Straight Motion,7
9231_w24_qp_33_Q6,Circular Motion,8
9231_w24_qp_33_Q7,Momentum,10
